"id","day","classroom","times","created_at","updated_at"
1086,"sabado","sj-tmm-09","Sa 11:31:00 - 12:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1087,"viernes","sj-tmm-09","Vi 13:01:00 - 14:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1088,"miercoles","sj-tmm-09","Mi 16:01:00 - 16:40:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1089,"miercoles","sj-tmm-09","Mi 15:11:00 - 15:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1090,"viernes","sj-tmm-09","Vi 20:31:00 - 21:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1091,"miercoles","sj-tmm-08","Mi 13:01:00 - 13:40:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1092,"miercoles","sj-tmm-08","Mi 12:11:00 - 12:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1093,"jueves","sj-tmm-02","Ju 14:31:00 - 15:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1094,"jueves","sj-tmm-02","Ju 13:01:00 - 14:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1095,"martes","sj-tmm-01","Ma 20:31:00 - 21:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1096,"miercoles","sj-202","Mi 14:31:00 - 15:10:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1097,"miercoles","sj-202","Mi 13:41:00 - 14:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1098,"sabado","sj-202","Sa 13:01:00 - 14:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1099,"jueves","sj-202","Ju 11:31:00 - 12:10:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1100,"jueves","sj-202","Ju 10:41:00 - 11:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1101,"viernes","sj-201","Vi 11:31:00 - 12:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1102,"viernes","sj-013","Vi 14:31:00 - 15:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1103,"jueves","sj-013","Ju 8:31:00 - 9:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1104,"sabado","sj-013","Sa 8:31:00 - 9:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1105,"lunes","sj-010","Lu 10:01:00 - 11:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1106,"lunes","sj-010","Lu 9:11:00 - 9:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1107,"sabado","sj-tmm-09","Sa 16:01:00 - 17:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1108,"sabado","sj-tmm-09","Sa 14:31:00 - 15:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1109,"martes","sj-tmm-04","Ma 16:01:00 - 16:40:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1110,"martes","sj-tmm-04","Ma 15:11:00 - 15:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1111,"jueves","sj-tmm-04","Ju 10:01:00 - 11:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1112,"lunes","sj-tmm-04","Lu 20:31:00 - 21:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1113,"jueves","sj-tmm-04","Ju 11:31:00 - 12:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1114,"lunes","sj-tmm-04","Lu 8:31:00 - 9:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1115,"sabado","sj-tmm-02","Sa 11:31:00 - 12:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1116,"sabado","sj-tmm-02","Sa 10:01:00 - 11:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1117,"miercoles","sj-702","Mi 16:41:00 - 17:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1118,"miercoles","sj-702","Mi 16:01:00 - 16:40:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1119,"miercoles","sj-702","Mi 15:11:00 - 15:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1120,"lunes","sj-702","Lu 14:31:00 - 15:10:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1121,"lunes","sj-702","Lu 13:01:00 - 14:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1122,"viernes","sj-211","Vi 20:31:00 - 21:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1123,"miercoles","sj-211","Mi 21:51:00 - 22:30:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1124,"miercoles","sj-211","Mi 20:31:00 - 21:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1125,"jueves","sj-202","Ju 13:01:00 - 14:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1126,"viernes","sj-202","Vi 10:01:00 - 11:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1127,"lunes","sj-201","Lu 19:01:00 - 20:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1128,"viernes","sj-013","Vi 11:31:00 - 12:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1129,"viernes","sj-010","Vi 14:31:00 - 15:10:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1130,"viernes","sj-010","Vi 13:01:00 - 14:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1131,"miercoles","sj-602","Mi 17:31:00 - 18:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1132,"lunes","sj-602","Lu 14:31:00 - 15:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1133,"jueves","sj-601","Ju 13:01:00 - 14:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1134,"lunes","sj-204","Lu 17:31:00 - 18:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1135,"viernes","sj-204","Vi 14:31:00 - 15:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1136,"viernes","sj-204","Vi 10:01:00 - 11:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1137,"lunes","sj-06","Lu 13:01:00 - 14:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1138,"martes","sj-06","Ma 13:01:00 - 14:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1139,"miercoles","sj-06","Mi 16:01:00 - 17:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1140,"viernes","sj-06","Vi 13:01:00 - 14:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1141,"lunes","sj-06","Lu 11:31:00 - 12:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1142,"lunes","sj-06","Lu 8:31:00 - 9:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1143,"miercoles","sj-06","Mi 11:31:00 - 12:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1144,"miercoles","sj-06","Mi 8:31:00 - 9:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1145,"viernes","sj-06","Vi 11:31:00 - 12:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1146,"viernes","sj-06","Vi 8:31:00 - 9:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1147,"martes","sj-06","Ma 11:31:00 - 12:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1148,"martes","sj-06","Ma 10:01:00 - 11:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1149,"jueves","sj-05b","Ju 14:31:00 - 15:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1150,"lunes","sj-05b","Lu 16:01:00 - 17:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1151,"jueves","sj-tmm-06","Ju 10:01:00 - 11:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1152,"jueves","sj-tmm-06","Ju 8:31:00 - 9:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1153,"martes","sj-tmm-06","Ma 10:01:00 - 11:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1154,"martes","sj-tmm-06","Ma 8:31:00 - 9:50:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1155,"viernes","sj-tmm-03","Vi 13:01:00 - 14:20:00",2023-09-22 04:17:31,2023-09-22 04:17:31
1156,"viernes","sj-tmm-03","Vi 12:11:00 - 12:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1157,"jueves","sj-tmm-03","Ju 13:01:00 - 13:40:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1158,"jueves","sj-tmm-03","Ju 11:31:00 - 12:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1159,"jueves","sj-tmm-03","Ju 14:31:00 - 15:10:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1160,"jueves","sj-tmm-03","Ju 13:41:00 - 14:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1161,"lunes","sj-tmm-03","Lu 14:31:00 - 15:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1162,"miercoles","sj-l8","Mi 11:31:00 - 12:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1163,"miercoles","sj-l8","Mi 10:01:00 - 11:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1164,"lunes","sj-013","Lu 10:01:00 - 11:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1165,"lunes","sj-013","Lu 11:31:00 - 12:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1166,"lunes","sj-l5","Lu 11:31:00 - 12:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1167,"lunes","sj-l5","Lu 10:41:00 - 11:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1168,"martes","sj-417","Ma 13:01:00 - 13:40:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1169,"martes","sj-417","Ma 11:31:00 - 12:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1170,"miercoles","sj-312","Mi 14:31:00 - 15:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1171,"miercoles","sj-312","Mi 13:01:00 - 14:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1172,"miercoles","sj-312","Mi 11:31:00 - 12:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1173,"miercoles","sj-312","Mi 10:01:00 - 11:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1174,"lunes","sj-309","Lu 17:31:00 - 18:10:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1175,"lunes","sj-309","Lu 16:41:00 - 17:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1176,"viernes","sj-703","Vi 19:01:00 - 20:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1177,"viernes","sj-703","Vi 20:31:00 - 21:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1178,"miercoles","sj-701","Mi 19:01:00 - 20:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1179,"martes","sj-701","Ma 19:01:00 - 20:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1180,"jueves","sj-604","Ju 20:31:00 - 21:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1181,"martes","sj-604","Ma 20:31:00 - 21:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1182,"jueves","sj-601","Ju 19:01:00 - 20:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1183,"miercoles","sj-506","Mi 21:11:00 - 22:30:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1184,"sabado","sj-511","Sa 11:31:00 - 12:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1185,"jueves","sj-502","Ju 8:31:00 - 9:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1186,"martes","sj-501","Ma 14:31:00 - 15:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1187,"miercoles","sj-501","Mi 11:31:00 - 12:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1188,"jueves","sj-315","Ju 13:01:00 - 14:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1189,"jueves","sj-312","Ju 11:31:00 - 12:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1190,"sabado","sj-310","Sa 8:31:00 - 9:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1191,"sabado","sj-307","Sa 10:01:00 - 11:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1192,"miercoles","sj-305b","Mi 10:01:00 - 10:40:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1193,"miercoles","sj-305b","Mi 8:31:00 - 9:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1194,"miercoles","sj-305b","Mi 16:01:00 - 17:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1195,"miercoles","sj-305b","Mi 15:11:00 - 15:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1196,"miercoles","sj-305b","Mi 14:31:00 - 15:10:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1197,"miercoles","sj-305b","Mi 13:01:00 - 14:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1198,"martes","sj-305b","Ma 10:01:00 - 10:40:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1199,"martes","sj-305b","Ma 8:31:00 - 9:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1200,"martes","sj-305b","Ma 11:31:00 - 12:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1201,"martes","sj-305b","Ma 10:41:00 - 11:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1202,"sabado","sj-305b","Sa 14:31:00 - 15:10:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1203,"sabado","sj-305b","Sa 13:01:00 - 14:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1204,"martes","sj-607","Ma 8:31:00 - 9:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1205,"lunes","sj-315","Lu 13:01:00 - 14:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1206,"lunes","sj-309","Lu 16:01:00 - 16:40:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1207,"lunes","sj-309","Lu 14:31:00 - 15:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1208,"martes","sj-309","Ma 16:01:00 - 16:40:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1209,"martes","sj-309","Ma 14:31:00 - 15:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1210,"miercoles","sj-309","Mi 20:31:00 - 21:10:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1211,"miercoles","sj-309","Mi 19:01:00 - 20:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1212,"miercoles","sj-303","Mi 16:01:00 - 16:40:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1213,"miercoles","sj-303","Mi 14:31:00 - 15:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1214,"viernes","sin-sala","Vi 13:01:00 - 14:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1215,"viernes","sin-sala","Vi 11:31:00 - 12:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1216,"miercoles","sj-l10","Mi 19:01:00 - 20:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1217,"jueves","sj-l10","Ju 19:01:00 - 20:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1218,"lunes","sj-l3","Lu 19:01:00 - 20:20:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1219,"jueves","sj-l4","Ju 20:31:00 - 21:50:00",2023-09-22 04:17:32,2023-09-22 04:17:32
1220,"lunes","sj-603","Lu 13:01:00 - 14:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1221,"jueves","sj-603","Ju 16:01:00 - 17:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1222,"jueves","sj-510","Ju 17:31:00 - 18:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1223,"martes","sj-418","Ma 11:31:00 - 12:10:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1224,"martes","sj-418","Ma 10:41:00 - 11:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1225,"jueves","sj-416","Ju 13:01:00 - 14:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1226,"jueves","sj-416","Ju 11:31:00 - 12:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1227,"jueves","sj-416","Ju 10:01:00 - 11:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1228,"jueves","sj-416","Ju 8:31:00 - 9:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1229,"martes","sj-415","Ma 10:01:00 - 10:40:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1230,"martes","sj-415","Ma 8:31:00 - 9:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1231,"martes","sj-406","Ma 13:01:00 - 13:40:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1232,"martes","sj-406","Ma 12:11:00 - 12:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1233,"martes","sj-406","Ma 11:31:00 - 12:10:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1234,"martes","sj-406","Ma 10:41:00 - 11:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1235,"jueves","sj-202","Ju 14:31:00 - 15:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1236,"lunes","sj-202","Lu 16:01:00 - 17:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1237,"lunes","sj-703","Lu 17:31:00 - 18:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1238,"lunes","sj-703","Lu 16:41:00 - 17:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1239,"miercoles","sj-603","Mi 17:31:00 - 18:10:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1240,"miercoles","sj-603","Mi 16:41:00 - 17:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1241,"martes","sj-503","Ma 13:01:00 - 14:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1242,"martes","sj-503","Ma 14:31:00 - 15:10:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1243,"lunes","sj-601","Lu 13:01:00 - 14:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1244,"lunes","sj-601","Lu 14:31:00 - 15:10:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1245,"lunes","sj-701","Lu 8:31:00 - 9:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1246,"miercoles","sj-701","Mi 8:31:00 - 9:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1247,"martes","sj-806","Ma 10:01:00 - 11:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1248,"martes","sj-806","Ma 11:31:00 - 12:10:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1249,"lunes","sj-806","Lu 10:01:00 - 11:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1250,"lunes","sj-806","Lu 11:31:00 - 12:10:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1251,"martes","sj-506","Ma 16:01:00 - 16:40:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1252,"martes","sj-506","Ma 14:31:00 - 15:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1253,"miercoles","sj-417","Mi 16:01:00 - 16:40:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1254,"miercoles","sj-417","Mi 14:31:00 - 15:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1255,"lunes","sj-415","Lu 14:31:00 - 15:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1256,"lunes","sj-407","Lu 13:01:00 - 14:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1257,"lunes","sj-407","Lu 11:31:00 - 12:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1258,"lunes","sj-407","Lu 10:01:00 - 11:20:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1259,"lunes","sj-407","Lu 8:31:00 - 9:50:00",2023-09-22 04:17:33,2023-09-22 04:17:33
1260,"martes","sj-404","Ma 13:01:00 - 14:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1261,"martes","sj-404","Ma 11:31:00 - 12:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1262,"martes","sj-404","Ma 10:01:00 - 11:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1263,"martes","sj-404","Ma 8:31:00 - 9:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1264,"miercoles","sj-404","Mi 13:01:00 - 14:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1265,"miercoles","sj-404","Mi 11:31:00 - 12:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1266,"miercoles","sj-404","Mi 10:01:00 - 11:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1267,"miercoles","sj-404","Mi 8:31:00 - 9:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1268,"miercoles","sj-401","Mi 13:01:00 - 14:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1269,"miercoles","sj-401","Mi 11:31:00 - 12:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1270,"miercoles","sj-401","Mi 10:01:00 - 11:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1271,"miercoles","sj-401","Mi 8:31:00 - 9:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1272,"sabado","sj-806","Sa 8:31:00 - 9:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1273,"viernes","sj-806","Vi 13:01:00 - 13:40:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1274,"viernes","sj-806","Vi 12:11:00 - 12:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1275,"sabado","sj-806","Sa 13:01:00 - 14:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1276,"sabado","sj-806","Sa 11:31:00 - 12:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1277,"viernes","sj-806","Vi 21:11:00 - 22:30:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1278,"viernes","sj-703","Vi 14:31:00 - 15:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1279,"sabado","sj-506","Sa 10:01:00 - 11:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1280,"viernes","sj-501","Vi 10:01:00 - 11:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1281,"viernes","sj-201","Vi 8:31:00 - 9:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1282,"jueves","sj-l5","Ju 16:01:00 - 17:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1283,"jueves","sj-l5","Ju 14:31:00 - 15:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1284,"martes","sj-l5","Ma 17:31:00 - 18:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1285,"martes","sj-l5","Ma 16:01:00 - 17:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1286,"jueves","sj-l5","Ju 20:31:00 - 21:10:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1287,"jueves","sj-l5","Ju 19:01:00 - 20:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1288,"lunes","sj-704","Lu 21:11:00 - 22:30:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1289,"martes","sj-502","Ma 14:31:00 - 15:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1290,"jueves","sj-501","Ju 21:11:00 - 22:30:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1291,"martes","sj-309","Ma 20:31:00 - 21:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1292,"martes","sj-309","Ma 19:01:00 - 20:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1293,"viernes","sj-303","Vi 20:31:00 - 21:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1294,"viernes","sj-303","Vi 19:01:00 - 20:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1295,"lunes","sj-203","Lu 20:31:00 - 21:10:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1296,"lunes","sj-203","Lu 19:01:00 - 20:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1297,"viernes","sj-504","Vi 11:31:00 - 12:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1298,"viernes","sj-504","Vi 10:41:00 - 11:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1299,"jueves","sj-805","Ju 14:31:00 - 15:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1300,"martes","sj-805","Ma 14:31:00 - 15:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1301,"viernes","sj-805","Vi 8:31:00 - 9:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1302,"miercoles","sj-805","Mi 8:31:00 - 9:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1303,"jueves","sj-805","Ju 19:01:00 - 20:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1304,"martes","sj-805","Ma 19:01:00 - 20:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1305,"sabado","sj-805","Sa 10:01:00 - 11:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1306,"lunes","sj-805","Lu 21:11:00 - 22:30:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1307,"jueves","sj-709","Ju 17:31:00 - 18:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1308,"martes","sj-709","Ma 17:31:00 - 18:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1309,"sabado","sj-609","Sa 8:31:00 - 9:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1310,"lunes","sj-609","Lu 19:01:00 - 20:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1311,"sabado","sj-601","Sa 11:31:00 - 12:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1312,"jueves","sj-601","Ju 21:11:00 - 22:30:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1313,"miercoles","sj-508","Mi 10:01:00 - 11:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1314,"miercoles","sj-l4","Mi 17:31:00 - 18:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1315,"lunes","sj-l4","Lu 17:31:00 - 18:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1316,"sabado","sj-l3","Sa 10:01:00 - 11:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1317,"jueves","sj-l3","Ju 21:11:00 - 22:30:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1318,"sabado","sj-l3","Sa 8:31:00 - 9:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1319,"martes","sj-l3","Ma 19:01:00 - 20:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1320,"miercoles","sj-l10","Mi 16:01:00 - 17:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1321,"lunes","sj-l10","Lu 16:01:00 - 17:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1322,"martes","sj-704","Ma 20:31:00 - 22:30:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1323,"viernes","sj-609","Vi 21:11:00 - 22:30:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1324,"lunes","sj-609","Lu 20:31:00 - 21:50:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1325,"miercoles","sj-502","Mi 20:31:00 - 22:30:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1326,"viernes","sj-415","Vi 20:31:00 - 21:10:00",2023-09-22 04:17:34,2023-09-22 04:17:34
1327,"viernes","sj-415","Vi 19:01:00 - 20:20:00",2023-09-22 04:17:34,2023-09-22 04:17:34
